bin_low,bin_high,count,accuracy,confidence
0.0,0.06666666666666667,0,,
0.06666666666666667,0.13333333333333333,0,,
0.13333333333333333,0.2,0,,
0.2,0.26666666666666666,0,,
0.26666666666666666,0.3333333333333333,1,0.0,0.30880945920944214
0.3333333333333333,0.4,7,0.42857142857142855,0.37326571345329285
0.4,0.4666666666666667,25,0.44,0.4443525969982147
0.4666666666666667,0.5333333333333333,70,0.5428571428571428,0.5025531053543091
0.5333333333333333,0.6,85,0.5411764705882353,0.5693430304527283
0.6,0.6666666666666666,88,0.6363636363636364,0.6350938081741333
0.6666666666666666,0.7333333333333333,105,0.580952380952381,0.6995326280593872
0.7333333333333333,0.8,123,0.6422764227642277,0.7676836252212524
0.8,0.8666666666666667,161,0.7329192546583851,0.835332453250885
0.8666666666666667,0.9333333333333333,327,0.8379204892966361,0.9062841534614563
0.9333333333333333,1.0,1732,0.9549653579676675,0.9692750573158264
