category,support,predicted_count,correct,accuracy_recall,precision,f1,roc_auc_ovr,pr_auc_ovr,brier_ovr,mean_ce_loss,classification_perplexity,mean_true_probability,mean_confidence,mean_entropy,mean_margin
Algebra,786,769,657,0.8358778625954199,0.8543563068920677,0.845016077170418,0.9550381154202675,0.9124089852802509,0.0669960007071495,0.497061163187027,1.6438830607723902,0.7850382328033447,0.8858875036239624,0.35905197262763977,0.8018205165863037
Combinatorics,587,640,489,0.8330494037478705,0.7640625,0.7970660146699267,0.9484653851703456,0.8265010284181585,0.07084448635578156,0.532285749912262,1.7028200845429637,0.7640670537948608,0.8622451424598694,0.39853140711784363,0.7623561024665833
Geometry,832,825,793,0.953125,0.9612121212121212,0.9571514785757392,0.9923933261505936,0.9831173574831935,0.021704403683543205,0.16098079085350037,1.1746624043349376,0.9179149270057678,0.9448775053024292,0.2115769386291504,0.9088150262832642
Number Theory,519,490,401,0.7726396917148363,0.8183673469387756,0.7948463825569871,0.9566364760419261,0.8679229808858528,0.05755158141255379,0.6438168287277222,1.9037332537377076,0.7200445532798767,0.8524314165115356,0.43200260400772095,0.7428834438323975
