name,description,feature_set,scoring,cv_best_score,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,selected_feature_count,best_params
global_full_f1,Apples-to-apples with all features: global threshold + F1 tuning.,all,f1,0.8688801224040784,0.9036929761042722,0.9053254437869822,0.84375,0.873453853472883,0.9623776706022911,57,"{""binarizer__threshold"": 0.1, ""model__alpha"": 0.1}"
grouped_no_domain_f1_var_mi,"Separate thresholds for word, char, and capital groups.",general,f1,0.8695407915514132,0.9036929761042722,0.9118236472945892,0.8363970588235294,0.87248322147651,0.9536246398200856,52,"{""binarizer__capital_threshold"": 5.0, ""binarizer__char_threshold"": 0.1, ""binarizer__word_threshold"": 0.5, ""model__alpha"": 0.01, ""selector__k"": ""all"", ""variance__threshold"": 0.001}"
global_no_domain_f1_var_mi,Global threshold + variance filter + MI selector.,general,f1,0.8538853181507864,0.8950036205648081,0.9014084507042254,0.8235294117647058,0.8607108549471661,0.9493705636376414,49,"{""binarizer__threshold"": 0.1, ""model__alpha"": 0.01, ""selector__k"": ""all"", ""variance__threshold"": 0.0}"
global_no_domain_f1,Remove HP-specific features; tune global threshold + alpha on F1.,general,f1,0.860507307748124,0.8957277335264301,0.9098360655737705,0.8161764705882353,0.8604651162790697,0.9472127784805678,52,"{""binarizer__threshold"": 0.25, ""model__alpha"": 0.01}"
quantile_no_domain_f1_var_mi,Per-feature quantile thresholds.,general,f1,0.8548710919504126,0.889210716871832,0.9064449064449065,0.8014705882352942,0.8507317073170731,0.9565543959519291,52,"{""binarizer__quantile"": 0.75, ""model__alpha"": 0.01, ""selector__k"": ""all"", ""variance__threshold"": 0.0}"
